X,Y,Z
195077.0,7402622.0,556.408498065
195145.0,7402693.0,555.719272579
195203.0,7402774.0,555.302336883
195262.0,7402855.0,553.662091082
195315.0,7402940.0,552.827202945
195363.0,7403027.0,552.19123186
195395.0,7403122.0,551.695627776
195378.0,7403206.0,551.249963516
195310.0,7403279.0,551.210378103
195257.0,7403360.0,550.876898697
195252.0,7403460.0,550.298106019
195248.0,7403560.0,550.284852227
195207.0,7403647.0,549.915619701
195149.0,7403729.0,550.261133247
195099.0,7403814.0,550.686202114
195069.0,7403910.0,550.337311081
195038.0,7404005.0,550.05651378
195008.0,7404100.0,549.700264758
194937.0,7404167.0,548.969130587
194846.0,7404208.0,549.021907696
194763.0,7404257.0,549.413012449
194712.0,7404343.0,549.49212815
194681.0,7404437.0,549.531648887
194660.0,7404535.0,549.625335195
194639.0,7404633.0,549.001300789
194618.0,7404730.0,548.384738254
194602.0,7404829.0,547.96934835
194585.0,7404928.0,547.374573079
194566.0,7405026.0,546.999950912
194543.0,7405123.0,546.722928647
194519.0,7405220.0,546.426430483
194496.0,7405317.0,546.259986397
194472.0,7405415.0,545.852056721
194449.0,7405512.0,545.789641866
194432.0,7405610.0,545.70105057
194416.0,7405709.0,545.938222146
194399.0,7405808.0,546.141036793
194382.0,7405906.0,545.742421511
194365.0,7406005.0,545.183558888
194330.0,7406097.0,544.267969915
194283.0,7406186.0,544.149419415
194237.0,7406274.0,544.131748436
194190.0,7406363.0,543.211679981
194134.0,7406445.0,542.983298432
194067.0,7406518.0,543.010115561
193999.0,7406592.0,543.206673166
193932.0,7406666.0,542.913072243
193867.0,7406742.0,542.486131334
193798.0,7406812.0,542.11424731
193730.0,7406884.0,541.718923332
193647.0,7406940.0,541.311459678
193595.0,7406945.0,541.403582324
193609.0,7406846.0,542.305697429
193602.0,7406748.0,542.70459562
193593.0,7406648.0,543.329015934
193599.0,7406549.0,544.580983458
193600.0,7406449.0,545.691701124
193523.0,7406394.0,545.612888012
193508.0,7406308.0,546.532308649
193420.0,7406311.0,546.679379448
193356.0,7406388.0,545.885502927
193294.0,7406467.0,544.168451429
193232.0,7406545.0,542.969776927
193150.0,7406545.0,542.200458308
193058.0,7406508.0,541.868142231
192971.0,7406557.0,540.901075742
192885.0,7406604.0,540.210602069
192786.0,7406591.0,539.919853347
192813.0,7406499.0,539.835794296
192870.0,7406417.0,540.212300733
192895.0,7406328.0,540.458547587
192860.0,7406235.0,540.225466233
192867.0,7406148.0,540.51530185
192920.0,7406063.0,541.281308631
192947.0,7405973.0,541.922283522
192925.0,7405875.0,541.863150787
192903.0,7405778.0,541.972919079
192880.0,7405680.0,542.04639961
192880.0,7405586.0,542.050324592
192926.0,7405498.0,542.57242942
192973.0,7405409.0,543.362538219
193019.0,7405321.0,543.945635317
193066.0,7405232.0,544.462162692
193121.0,7405149.0,545.028685227
193163.0,7405060.0,545.960445737
193179.0,7404962.0,545.911502315
193215.0,7404873.0,546.506077237
193284.0,7404800.0,547.138393548
193336.0,7404716.0,547.480189022
193379.0,7404626.0,547.775408179
193446.0,7404557.0,548.585277609
193512.0,7404492.0,549.224744749
193610.0,7404485.0,550.264535703
193688.0,7404441.0,550.777318647
193704.0,7404345.0,551.699706741
193717.0,7404246.0,553.082171246
193740.0,7404148.0,554.176673893
193751.0,7404049.0,554.540657554
193758.0,7403949.0,554.465105044
193733.0,7403858.0,554.121505213
193644.0,7403812.0,553.202942711
193546.0,7403803.0,551.864367966
193466.0,7403797.0,550.551141312
193390.0,7403855.0,549.611149172
193292.0,7403870.0,548.690525062
193192.0,7403874.0,547.645282796
193095.0,7403898.0,546.681281596
193107.0,7403801.0,546.383737726
193133.0,7403705.0,546.66090528
193199.0,7403639.0,547.265498202
193289.0,7403595.0,547.554690135
193361.0,7403553.0,547.519186746
193387.0,7403456.0,548.369312859
193426.0,7403364.0,548.375749852
193465.0,7403274.0,548.716255466
193519.0,7403195.0,549.692122345
193572.0,7403113.0,550.436546246
193606.0,7403020.0,550.761773657
193620.0,7402921.0,550.745331128
193680.0,7402844.0,551.422720979
193748.0,7402771.0,552.094564696
193816.0,7402698.0,552.851508095
193884.0,7402625.0,553.655601442
193938.0,7402542.0,554.244398852
193975.0,7402450.0,554.570813284
194013.0,7402357.0,555.307630373
194071.0,7402282.0,555.629176431
194159.0,7402236.0,555.903272717
194255.0,7402206.0,556.393704028
194349.0,7402173.0,557.252809163
194439.0,7402130.0,557.477806833
194530.0,7402088.0,557.745627664
194604.0,7402028.0,558.055520274
194644.0,7401937.0,558.242135437
194684.0,7401845.0,558.819607729
194724.0,7401753.0,559.299606026
194746.0,7401657.0,560.166317532
194750.0,7401557.0,561.241038196
194754.0,7401457.0,562.12845001
194758.0,7401358.0,563.213319146
194732.0,7401262.0,563.970425376
194700.0,7401167.0,564.650618142
194655.0,7401081.0,565.537255736
194580.0,7401014.0,566.550832061
194486.0,7401001.0,565.905929658
194393.0,7401025.0,566.656022268
194320.0,7401093.0,565.433770314
194247.0,7401162.0,563.49958478
194175.0,7401230.0,561.916879105
194102.0,7401298.0,560.617035956
194029.0,7401367.0,559.585018733
193962.0,7401440.0,558.715790574
193906.0,7401524.0,557.841841496
193858.0,7401610.0,556.838201715
193840.0,7401708.0,555.934594726
193831.0,7401808.0,555.028832859
193801.0,7401897.0,554.49783238
193712.0,7401940.0,554.457749262
193621.0,7401945.0,554.670490254
193531.0,7401901.0,555.200321975
193505.0,7401805.0,555.631424302
193479.0,7401709.0,556.10027689
193467.0,7401609.0,557.035575868
